✅ or ❌,page,initials,date
,urn:cite2:hmt:msA.v1:175v,,
,urn:cite2:hmt:msA.v1:176r,,
,urn:cite2:hmt:msA.v1:176v,,
,urn:cite2:hmt:msA.v1:177r,,
,urn:cite2:hmt:msA.v1:177v,,
,urn:cite2:hmt:msA.v1:178r,,
,urn:cite2:hmt:msA.v1:178v,,
,urn:cite2:hmt:msA.v1:179r,,
,urn:cite2:hmt:msA.v1:179v,,
,urn:cite2:hmt:msA.v1:180r,,
,urn:cite2:hmt:msA.v1:180v,,
,urn:cite2:hmt:msA.v1:181r,,
,urn:cite2:hmt:msA.v1:181v,,
,urn:cite2:hmt:msA.v1:182r,,
,urn:cite2:hmt:msA.v1:182v,,
,urn:cite2:hmt:msA.v1:183r,,
,urn:cite2:hmt:msA.v1:183v,,
,urn:cite2:hmt:msA.v1:184r,,
,urn:cite2:hmt:msA.v1:184v,,
,urn:cite2:hmt:msA.v1:185r,,
,urn:cite2:hmt:msA.v1:185v,,
,urn:cite2:hmt:msA.v1:186r,,
,urn:cite2:hmt:msA.v1:186v,,
,urn:cite2:hmt:msA.v1:187r,,
,urn:cite2:hmt:msA.v1:187v,,
,urn:cite2:hmt:msA.v1:188r,,
,urn:cite2:hmt:msA.v1:188v,,
,urn:cite2:hmt:msA.v1:189r,,
,urn:cite2:hmt:msA.v1:189v,,
,urn:cite2:hmt:msA.v1:190r,,
,urn:cite2:hmt:msA.v1:190v,,
,urn:cite2:hmt:msA.v1:191r,,
,urn:cite2:hmt:msA.v1:191v,,
,urn:cite2:hmt:msA.v1:192r,,
,urn:cite2:hmt:msA.v1:192v,,
,urn:cite2:hmt:msA.v1:193r,,
,urn:cite2:hmt:msA.v1:193v,,
,urn:cite2:hmt:msA.v1:194r,,
,urn:cite2:hmt:msA.v1:194v,,
,urn:cite2:hmt:msA.v1:195r,,
,urn:cite2:hmt:msA.v1:195v,,
,urn:cite2:hmt:msA.v1:196r,,
,urn:cite2:hmt:msA.v1:196v,,
,urn:cite2:hmt:msA.v1:197r,,
,urn:cite2:hmt:msA.v1:197v,,
,urn:cite2:hmt:msA.v1:198r,,
,urn:cite2:hmt:msA.v1:198v,,
,urn:cite2:hmt:msA.v1:199r,,
,urn:cite2:hmt:msA.v1:199v,,
,urn:cite2:hmt:msA.v1:200r,,
,urn:cite2:hmt:msA.v1:200v,,
,urn:cite2:hmt:msA.v1:201r,,
,urn:cite2:hmt:msA.v1:201v,,
,urn:cite2:hmt:msA.v1:202r,,
,urn:cite2:hmt:msA.v1:202v,,
,urn:cite2:hmt:msA.v1:203r,,
,urn:cite2:hmt:msA.v1:203v,,
,urn:cite2:hmt:msA.v1:204r,,
,urn:cite2:hmt:msA.v1:204v,,
,urn:cite2:hmt:msA.v1:205r,,
,urn:cite2:hmt:msA.v1:205v,,
,urn:cite2:hmt:msA.v1:206r,,
,urn:cite2:hmt:msA.v1:206v,,
,urn:cite2:hmt:msA.v1:207r,,
,urn:cite2:hmt:msA.v1:207v,,
,urn:cite2:hmt:msA.v1:208r,,
,urn:cite2:hmt:msA.v1:208v,,
,urn:cite2:hmt:msA.v1:209r,,
,urn:cite2:hmt:msA.v1:209v,,
,urn:cite2:hmt:msA.v1:210r,,
,urn:cite2:hmt:msA.v1:210v,,
,urn:cite2:hmt:msA.v1:211r,,
,urn:cite2:hmt:msA.v1:211v,,
,urn:cite2:hmt:msA.v1:212r,,
,urn:cite2:hmt:msA.v1:212v,,
,urn:cite2:hmt:msA.v1:213r,,
,urn:cite2:hmt:msA.v1:213v,,
,urn:cite2:hmt:msA.v1:214r,,
